data_ini_se,chuva_semana_mm,chuva_dias_com_chuva,chuva_max_diaria_mm,cod_ibge
2020-03-15,34.78,4,14.8,5200100
2020-03-22,84.93,7,20.93,5200100
2020-03-29,3.03,1,1.75,5200100
2020-04-05,26.65,4,11.27,5200100
2020-04-12,50.86,7,18.06,5200100
2020-04-19,85.83,6,25.66,5200100
2020-04-26,0.19,0,0.05,5200100
2020-05-03,2.34,1,1.69,5200100
2020-05-10,4.0,2,1.86,5200100
2020-05-17,0.98,0,0.82,5200100
2020-05-24,0.45,0,0.31,5200100
2020-05-31,0.35,0,0.1,5200100
2020-06-07,0.31,0,0.11,5200100
2020-06-14,0.15,0,0.07,5200100
2020-06-21,0.34,0,0.13,5200100
2020-06-28,0.09,0,0.07,5200100
2020-07-05,0.11,0,0.11,5200100
2020-07-12,0.08,0,0.04,5200100
2020-07-19,0.57,0,0.24,5200100
2020-07-26,0.35,0,0.11,5200100
2020-08-02,0.37,0,0.13,5200100
2020-08-09,0.0,0,0.0,5200100
2020-08-16,0.03,0,0.01,5200100
2020-08-23,0.0,0,0.0,5200100
2020-08-30,0.02,0,0.02,5200100
2020-09-06,0.6799999999999999,0,0.47,5200100
2020-09-13,0.0,0,0.0,5200100
2020-09-20,7.6,2,5.06,5200100
2020-09-27,0.49,0,0.49,5200100
2020-10-04,15.02,1,15.02,5200100
2020-10-11,95.04,5,76.3,5200100
2020-10-18,64.65,7,28.26,5200100
2020-10-25,30.19,6,11.04,5200100
2020-11-01,14.31,3,8.62,5200100
2020-11-08,30.05,5,8.76,5200100
2020-11-15,55.92,6,15.16,5200100
2020-11-22,6.5,3,2.89,5200100
2020-11-29,7.33,1,6.83,5200100
2020-12-06,41.74,6,15.16,5200100
2020-12-13,8.92,2,6.2,5200100
2020-12-20,56.83,7,18.77,5200100
2020-12-27,18.29,3,7.17,5200100
2021-01-03,38.74,6,21.2,5200100
2021-01-10,55.46,7,21.79,5200100
2021-01-17,15.56,4,6.66,5200100
2021-01-24,26.32,4,12.66,5200100
2021-01-31,40.11,7,8.27,5200100
2021-02-07,75.67,5,26.66,5200100
2021-02-14,63.01,7,14.27,5200100
2021-02-21,92.9,7,30.42,5200100
2021-02-28,28.94,3,14.37,5200100
2021-03-07,35.63,7,16.09,5200100
2021-03-14,65.55,7,15.89,5200100
2021-03-21,3.08,1,3.02,5200100
2021-03-28,11.06,5,4.75,5200100
2021-04-04,41.54,6,13.11,5200100
2021-04-11,7.169999999999999,2,3.86,5200100
2021-04-18,6.48,2,3.37,5200100
2021-04-25,3.24,1,1.3,5200100
2021-05-02,0.12,0,0.05,5200100
2021-05-09,0.06,0,0.04,5200100
2021-05-16,0.07,0,0.03,5200100
2021-05-23,0.04,0,0.04,5200100
2021-05-30,0.04,0,0.02,5200100
2021-06-06,0.18,0,0.08,5200100
2021-06-13,14.140000000000002,1,13.3,5200100
2021-06-20,0.56,0,0.45,5200100
2021-06-27,0.01,0,0.01,5200100
2021-07-04,0.02,0,0.01,5200100
2021-07-11,0.03,0,0.03,5200100
2021-07-18,0.1,0,0.04,5200100
2021-07-25,0.45,0,0.27,5200100
2021-08-01,0.87,0,0.23,5200100
2021-08-08,1.76,1,1.48,5200100
2021-08-15,0.0,0,0.0,5200100
2021-08-22,0.01,0,0.01,5200100
2021-08-29,1.47,1,1.19,5200100
2021-09-05,0.0,0,0.0,5200100
2021-09-12,0.11,0,0.11,5200100
2021-09-19,22.03,2,16.51,5200100
2021-09-26,15.53,5,5.45,5200100
2021-10-03,8.37,3,4.56,5200100
2021-10-10,29.06,5,17.57,5200100
2021-10-17,49.51,6,18.82,5200100
2021-10-24,35.09,5,11.08,5200100
2021-10-31,46.57,7,17.14,5200100
2021-11-07,108.6,7,25.78,5200100
2021-11-14,120.6,7,37.14,5200100
2021-11-21,25.36,4,17.26,5200100
2021-11-28,74.16,7,23.21,5200100
2021-12-05,31.75,6,11.4,5200100
2021-12-12,45.47,7,11.08,5200100
2021-12-19,82.15,6,23.19,5200100
2021-12-26,89.3,5,38.29,5200100
2022-01-02,80.21000000000001,7,31.49,5200100
2022-01-09,99.33,5,38.18,5200100
2022-01-16,16.12,5,5.2,5200100
2022-01-23,28.79,5,9.54,5200100
2022-01-30,20.97,6,5.06,5200100
2022-02-06,140.89,7,34.7,5200100
2022-02-13,92.05,7,28.38,5200100
2022-02-20,30.76,7,12.81,5200100
2022-02-27,18.97,4,7.18,5200100
2022-03-06,16.84,4,6.82,5200100
2022-03-13,36.53,6,17.74,5200100
2022-03-20,25.22,3,10.8,5200100
2022-03-27,12.61,3,7.66,5200100
2022-04-03,8.64,1,7.53,5200100
2022-04-10,9.47,4,3.59,5200100
2022-04-17,2.76,1,1.4,5200100
2022-04-24,0.08,0,0.05,5200100
2022-05-01,1.46,0,0.93,5200100
2022-05-08,1.42,0,0.97,5200100
2022-05-15,2.33,1,1.31,5200100
2022-05-22,0.28,0,0.23,5200100
2022-05-29,0.03,0,0.03,5200100
2022-06-05,0.12,0,0.08,5200100
2022-06-12,0.29,0,0.21,5200100
2022-06-19,0.03,0,0.03,5200100
2022-06-26,0.05,0,0.03,5200100
2022-07-03,0.04,0,0.03,5200100
2022-07-10,0.04,0,0.03,5200100
2022-07-17,0.0,0,0.0,5200100
2022-07-24,0.0,0,0.0,5200100
2022-07-31,0.0,0,0.0,5200100
2022-08-07,0.01,0,0.01,5200100
2022-08-14,0.04,0,0.03,5200100
2022-08-21,0.0,0,0.0,5200100
2022-08-28,0.0,0,0.0,5200100
2022-09-04,0.0,0,0.0,5200100
2022-09-11,1.9,1,1.41,5200100
2022-09-18,26.74,6,7.39,5200100
2022-09-25,25.47,4,15.64,5200100
2022-10-02,13.16,5,3.35,5200100
2022-10-09,7.449999999999999,1,7.1,5200100
2022-10-16,15.82,1,14.45,5200100
2022-10-23,41.18,5,19.66,5200100
2022-10-30,25.0,3,11.52,5200100
2022-11-06,41.29,5,14.75,5200100
2022-11-13,60.3,5,17.98,5200100
2022-11-20,52.93,7,19.79,5200100
2022-11-27,74.6,6,20.71,5200100
2022-12-04,72.99,7,18.52,5200100
2022-12-11,93.86,7,39.43,5200100
2022-12-18,48.33,7,11.69,5200100
2022-12-25,72.89,7,27.88,5200100
2023-01-01,69.0,7,17.9,5200100
2023-01-08,27.08,7,9.26,5200100
2023-01-15,31.64,6,9.29,5200100
2023-01-22,55.49,7,15.85,5200100
2023-01-29,36.75,6,9.63,5200100
2023-02-05,32.89,7,10.63,5200100
2023-02-12,21.94,4,11.9,5200100
2023-02-19,46.15,6,11.59,5200100
2023-02-26,29.74,5,12.09,5200100
2023-03-05,48.53,4,25.33,5200100
2023-03-12,63.58,7,21.71,5200100
2023-03-19,48.14,5,16.28,5200100
2023-03-26,3.18,1,2.08,5200100
2023-04-02,26.86,4,7.77,5200100
2023-04-09,35.84,6,14.66,5200100
2023-04-16,7.14,3,3.07,5200100
2023-04-23,3.14,1,1.06,5200100
2023-04-30,1.31,0,0.51,5200100
2023-05-07,1.33,0,0.6,5200100
2023-05-14,0.8600000000000001,0,0.19,5200100
2023-05-21,0.67,0,0.21,5200100
2023-05-28,0.2,0,0.1,5200100
2023-06-04,0.37,0,0.2,5200100
2023-06-11,4.99,1,2.64,5200100
2023-06-18,0.19,0,0.05,5200100
2023-06-25,0.27,0,0.08,5200100
2023-07-02,0.48,0,0.33,5200100
2023-07-09,0.05,0,0.05,5200100
2023-07-16,0.0,0,0.0,5200100
2023-07-23,0.0,0,0.0,5200100
2023-07-30,0.01,0,0.01,5200100
2023-08-06,0.01,0,0.01,5200100
2023-08-13,0.0,0,0.0,5200100
2023-08-20,3.03,2,1.29,5200100
2023-08-27,21.04,5,5.85,5200100
2023-09-03,5.24,2,2.36,5200100
2023-09-10,0.99,0,0.94,5200100
2023-09-17,2.57,1,2.54,5200100
2023-09-24,11.11,2,6.87,5200100
2023-10-01,32.8,5,15.06,5200100
2023-10-08,12.99,3,5.25,5200100
2023-10-15,6.6,2,4.51,5200100
2023-10-22,16.54,4,7.34,5200100
2023-10-29,30.74,4,10.23,5200100
2023-11-05,4.33,2,1.94,5200100
2023-11-12,5.94,3,2.12,5200100
2023-11-19,48.43,6,14.34,5200100
2023-11-26,35.15,5,16.08,5200100
2023-12-03,16.38,4,6.71,5200100
2023-12-10,16.29,3,7.61,5200100
2023-12-17,55.32,6,22.36,5200100
2023-12-24,13.41,3,6.32,5200100
2023-12-31,73.64,7,19.22,5200100
2024-01-07,28.74,6,15.94,5200100
2024-01-14,48.8,5,18.45,5200100
2024-01-21,31.75,6,9.08,5200100
2024-01-28,33.26,5,8.91,5200100
2024-02-04,51.33,7,12.34,5200100
2024-02-11,12.93,4,5.05,5200100
2024-02-18,52.75,5,25.35,5200100
2024-02-25,9.29,3,4.23,5200100
2024-03-03,29.66,7,10.18,5200100
2024-03-10,27.58,6,12.39,5200100
2024-03-17,33.58,7,10.15,5200100
2024-03-24,49.86,5,12.54,5200100
2024-03-31,32.89,7,11.31,5200100
2024-04-07,23.67,6,6.66,5200100
2024-04-14,3.88,1,2.77,5200100
2024-04-21,0.74,0,0.27,5200100
2024-04-28,0.2,0,0.1,5200100
2024-05-05,0.14,0,0.04,5200100
2024-05-12,0.35,0,0.21,5200100
2024-05-19,0.18,0,0.06,5200100
2024-05-26,0.06,0,0.04,5200100
2024-06-02,0.11,0,0.04,5200100
2024-06-09,0.12,0,0.04,5200100
2024-06-16,0.51,0,0.24,5200100
2024-06-23,0.07,0,0.04,5200100
2024-06-30,0.04,0,0.04,5200100
2024-07-07,0.03,0,0.03,5200100
2024-07-14,0.06,0,0.03,5200100
2024-07-21,0.01,0,0.01,5200100
2024-07-28,0.0,0,0.0,5200100
2024-08-04,0.0,0,0.0,5200100
2024-08-11,0.0,0,0.0,5200100
2024-08-18,0.08,0,0.03,5200100
2024-08-25,0.0,0,0.0,5200100
2024-09-01,0.0,0,0.0,5200100
2024-09-08,0.1,0,0.07,5200100
2024-09-15,0.01,0,0.01,5200100
2024-09-22,5.76,1,5.76,5200100
2024-09-29,4.16,1,4.15,5200100
2024-10-06,9.95,2,3.89,5200100
2024-10-13,71.42,5,44.36,5200100
2024-10-20,81.37,7,28.05,5200100
2024-10-27,96.84,6,38.3,5200100
2024-11-03,72.06,6,33.03,5200100
2024-11-10,88.58,7,19.51,5200100
2024-11-17,76.53,7,17.63,5200100
2024-11-24,25.52,7,6.04,5200100
2024-12-01,14.53,5,6.82,5200100
2024-12-08,13.84,4,6.06,5200100
2024-12-15,25.73,7,5.76,5200100
2024-12-22,41.92,6,16.38,5200100
2024-12-29,19.64,6,6.12,5200100
2025-01-05,30.95,7,11.16,5200100
2025-01-12,65.15,6,28.4,5200100
2025-01-19,9.49,2,3.8,5200100
2025-01-26,35.91,6,13.11,5200100
2025-02-02,10.71,4,3.51,5200100
2025-02-09,30.3,6,8.94,5200100
2025-02-16,12.73,3,5.48,5200100
2025-02-23,63.06,7,29.68,5200100
2025-03-02,1.97,1,1.85,5200100
2025-03-09,19.55,4,8.16,5200100
2025-03-16,26.42,6,5.94,5200100
2025-03-23,76.67,6,46.86,5200100
2025-03-30,9.49,3,4.8,5200100
2025-04-06,9.88,3,3.51,5200100
2025-04-13,14.62,5,6.53,5200100
2025-04-20,8.92,4,3.0,5200100
2025-04-27,3.47,2,2.27,5200100
2025-05-04,4.53,2,3.3,5200100
2025-05-11,1.3,1,1.08,5200100
2025-05-18,0.32,0,0.1,5200100
2025-05-25,0.1,0,0.05,5200100
2025-06-01,0.67,0,0.4,5200100
2025-06-08,6.4,3,2.88,5200100
2025-06-15,0.42,0,0.23,5200100
2025-06-22,0.15,0,0.09,5200100
2025-06-29,0.0,0,0.0,5200100
2025-07-06,0.0,0,0.0,5200100
2025-07-13,0.0,0,0.0,5200100
2025-07-20,0.2,0,0.2,5200100
2025-07-27,0.03,0,0.03,5200100
2025-08-03,0.19,0,0.1,5200100
2025-08-10,0.0,0,0.0,5200100
2025-08-17,0.0,0,0.0,5200100
2025-08-24,0.13,0,0.09,5200100
2025-08-31,0.0,0,0.0,5200100
2025-09-07,0.0,0,0.0,5200100
2025-09-14,5.76,1,4.78,5200100
2025-09-21,11.260000000000002,3,4.23,5200100
2025-09-28,0.02,0,0.02,5200100
2025-10-05,0.62,0,0.53,5200100
2025-10-12,39.07,3,30.16,5200100
2025-10-19,2.79,2,1.28,5200100
2025-10-26,5.79,3,2.17,5200100
2025-11-02,38.0,5,22.97,5200100
2025-11-09,20.99,3,9.24,5200100
2025-11-16,7.889999999999999,2,4.06,5200100
2025-11-23,29.43,5,8.14,5200100
2025-11-30,102.36,6,26.09,5200100
2025-12-07,52.74,7,17.82,5200100
2025-12-14,21.51,7,6.85,5200100
2025-12-21,3.66,2,1.41,5200100
2025-12-28,20.020000000000003,4,11.14,5200100
2026-01-04,31.18,5,11.52,5200100
2026-01-11,19.75,5,8.94,5200100
2026-01-18,59.23,7,11.36,5200100
2026-01-25,80.32,6,17.86,5200100
2026-02-01,29.46,7,9.07,5200100
2026-02-08,30.33,5,9.26,5200100
2026-02-15,26.15,3,12.85,5200100
2026-02-22,48.79,7,10.29,5200100
2026-03-01,26.9,5,17.15,5200100
2026-03-08,42.3,7,16.08,5200100
2026-03-15,40.21,7,11.21,5200100
2026-03-22,15.22,5,6.0,5200100
2026-03-29,20.75,4,7.55,5200100
2026-04-05,7.669999999999999,3,4.18,5200100
2026-04-12,14.14,4,5.62,5200100
2026-04-19,1.19,0,0.85,5200100
2026-04-26,2.3400000000000003,1,2.06,5200100
2026-05-03,0.06,0,0.04,5200100
2026-05-10,1.08,0,0.81,5200100
2026-05-17,1.21,0,0.55,5200100
2026-05-24,0.33,0,0.11,5200100
2026-05-31,0.52,0,0.46,5200100
2026-06-07,10.17,2,8.92,5200100
2026-06-14,5.27,1,4.38,5200100
2026-06-21,0.4,0,0.19,5200100
