municipio,uf,cod_ibge,fonte,conteudo,arquivo_local,url
Valparaiso de Goias,GO,5221858,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5221858.csv,https://info.dengue.mat.br/api/alertcity?geocode=5221858&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Valparaiso de Goias,GO,5221858,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5221858?formato=application/vnd.geo+json&qualidade=intermediaria
Vila Boa,GO,5222203,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5222203.csv,https://info.dengue.mat.br/api/alertcity?geocode=5222203&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Vila Boa,GO,5222203,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5222203.csv,https://info.dengue.mat.br/api/alertcity?geocode=5222203&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Vila Boa,GO,5222203,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5222203.csv,https://info.dengue.mat.br/api/alertcity?geocode=5222203&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Vila Boa,GO,5222203,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5222203?formato=application/vnd.geo+json&qualidade=intermediaria
Vila Propicio,GO,5222302,InfoDengue,dengue: serie municipio-semana 2014-2026,dados/bruto/infodengue/dengue_5222302.csv,https://info.dengue.mat.br/api/alertcity?geocode=5222302&disease=dengue&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Vila Propicio,GO,5222302,InfoDengue,chikungunya: serie municipio-semana 2014-2026,dados/bruto/infodengue/chikungunya_5222302.csv,https://info.dengue.mat.br/api/alertcity?geocode=5222302&disease=chikungunya&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Vila Propicio,GO,5222302,InfoDengue,zika: serie municipio-semana 2014-2026,dados/bruto/infodengue/zika_5222302.csv,https://info.dengue.mat.br/api/alertcity?geocode=5222302&disease=zika&format=json&ew_start=1&ew_end=53&ey_start=2014&ey_end=2026
Vila Propicio,GO,5222302,IBGE,malha cartografica municipal (GeoJSON),dados/externo/malha_ride_df.geojson,https://servicodados.ibge.gov.br/api/v3/malhas/municipios/5222302?formato=application/vnd.geo+json&qualidade=intermediaria
